clusterID,namespace,controllerKind,controllerName,containerName,recommendedRequest_cpu,recommendedRequest_memory,latestKnownRequest_cpu,latestKnownRequest_memory,averageUsage_cpu,averageUsage_memory,normalizedAverageUsage_cpuInMilliCores,normalizedAverageUsage_memoryInMiB,maxUsage_cpu,maxUsage_memory,normalizedMaxUsage_cpuInMilliCores,normalizedMaxUsage_memoryInMiB,monthlySavings_cpu,monthlySavings_memory,monthlySavings_total,currentEfficiency_cpu,currentEfficiency_memory,currentEfficiency_total,labels,namespaceLabels
kc-demo-dev2,kube-system,deployment,ama-metrics,prometheus-collector,14m,521Mi,138m,459Mi,6m,283Mi,6,283,9m,339Mi,9,339,7.044354581749683,-0.16805814206861042,6.876296439681073,0.0368023095790244,0.6152466677871455,0.11659032168777318,"{""addonmanager_kubernetes_io_mode"": ""Reconcile"", ""admission_gatekeeper_sh_ignore"": ""no-self-managing"", ""control_plane"": ""controller-manager"", ""gatekeeper_sh_operation"": ""webhook"", ""gatekeeper_sh_system"": ""yes"", ""kubernetes_azure_com_agentpool"": ""agentpool"", ""kubernetes_azure_com_managedby"": ""aks"", ""kubernetes_io_metadata_name"": ""gatekeeper-system"", ""node_kubernetes_io_instance_type"": ""Standard_D8ds_v5"", ""pod_template_hash"": ""fd9bd9645"", ""topology_kubernetes_io_region"": ""eastus2"", ""topology_kubernetes_io_zone"": ""eastus2-1""}","{""addonmanager_kubernetes_io_mode"": ""Reconcile"", ""admission_gatekeeper_sh_ignore"": ""no-self-managing"", ""control_plane"": ""controller-manager"", ""gatekeeper_sh_system"": ""yes"", ""kubernetes_azure_com_managedby"": ""aks"", ""kubernetes_io_metadata_name"": ""gatekeeper-system""}"
kc-demo-openshift,openshift-route-controller-manager,deployment,route-controller-manager,route-controller-manager,10m,162Mi,92m,92Mi,2m,65Mi,2,65,5m,106Mi,5,106,5.633701027261615,-0.6317905298348993,5.0019104974267155,0.016441742302868958,0.703454179263345,0.09634140941322268,{},{}
